Title,Main Price,Current Price,Store
"LG OLED TV OLED77CX6 77"" 4Κ Ultra HD",6399.0,5119.0,PLAISIO
"Sony LED TV 65XH9096 65"" 4Κ Ultra HD",1749.0,1159.0,PLAISIO
"LG OLED TV OLED55CX6 55"" 4Κ Ultra HD",2489.0,1990.0,PLAISIO
"LG LED TV 55UM7050 55"" 4Κ Ultra HD",569.0,429.0,PLAISIO
"LG LED TV 65UM7050 65"" 4Κ Ultra HD",799.0,799.0,PLAISIO
"LG NanoCell TV 49NANO866 49"" 4Κ Ultra HD",1999.0,1039.0,PLAISIO
"Sony LED TV KDL50WF665 50"" Full HD",529.0,499.0,PLAISIO
"Sony LED TV KD85XG8596 85"" 4Κ Ultra HD",4199.0,2499.0,PLAISIO
"Sony LED TV KD85ZG9 85"" 8K Ultra HD",1699.0,14999.0,PLAISIO
"LG NanoCell TV 55SM8050 55"" 4Κ Ultra HD",799.0,639.0,PLAISIO
"Samsung LED TV UE43RU7092 43"" 4Κ Ultra HD",529.0,369.0,PLAISIO
"Samsung QLED TV The Frame 50"" 4Κ Ultra HD",1499.0,1199.0,PLAISIO
"Sony LED TV 55XH9096 55"" 4Κ Ultra HD",1499.0,1159.0,PLAISIO
"Samsung QLED TV QE 75Q800T 75"" 8K Ultra HD",5999.0,4799.0,PLAISIO
"Samsung QLED TV QE 49Q80T 49"" 4Κ Ultra HD",1499.0,1199.0,PLAISIO
"Samsung QLED TV QE 75Q70T 75"" 4Κ Ultra HD",2499.0,1799.0,PLAISIO
"Samsung QLED TV QE 75Q950T 75"" 8K Ultra HD",8799.0,6999.0,PLAISIO
"Samsung QLED TV QE 75Q60T 75"" 4Κ Ultra HD",2399.0,1679.0,PLAISIO
"Samsung QLED TV QE 85Q60T 85"" 4Κ Ultra HD",3799.0,2999.0,PLAISIO
"Samsung QLED TV The Serif 49"" 4Κ Ultra HD",1399.0,1119.0,PLAISIO
"Samsung QLED TV The Serif 55"" 4Κ Ultra HD",1599.0,1279.0,PLAISIO
"Samsung QLED TV QE 75Q80T 75"" 4Κ Ultra HD",3799.0,3099.0,PLAISIO
"Samsung QLED TV QE 65Q950T 65"" 8K Ultra HD",6599.0,5279.0,PLAISIO
"Samsung QLED TV The Frame 65"" 4Κ Ultra HD",2399.0,1919.0,PLAISIO
"Sony LED TV KD43XH8096 43"" 4Κ Ultra HD",819.0,695.0,PLAISIO
"Samsung QLED TV QE 75Q90T 75"" 4Κ Ultra HD",4399.0,3499.0,PLAISIO
"Sony LED TV KD65XH8096 65"" 4Κ Ultra HD",1349.0,1349.0,PLAISIO
"Samsung QLED TV QE 75Q95T 75"" 4Κ Ultra HD",4899.0,3999.0,PLAISIO
"Sony Full Array TV KD49XH9505 49"" 4Κ Ultra HD",1449.0,1159.0,PLAISIO
"Samsung Frame VG-SCFT Καφέ 55""",992.0,99.0,PLAISIO
"Samsung Frame VG-SCFT Λευκό 65""",992.0,99.0,PLAISIO
"Sony LED TV KD49XG8396 49"" 4Κ Ultra HD",134.0,849.0,PLAISIO
"LG Nano Cell TV 55SM9800 55"" 4Κ Ultra HD",2199.0,1349.0,PLAISIO
"Sony LED TV KD75XG8596 75"" 4Κ Ultra HD",2999.0,1519.0,PLAISIO
"LG LED TV 70UM7450 70"" 4Κ Ultra HD",1799.0,1049.0,PLAISIO
"LG OLED TV OLED55E9 55"" 4Κ Ultra HD",3299.0,1799.0,PLAISIO
"LG OLED TV OLED65W9 65"" 4Κ Ultra HD",7499.0,6499.0,PLAISIO
"Samsung Frame VG-SCFT Καφέ 55""",992.0,99.0,PLAISIO
"Samsung Frame VG-SCFT Λευκό 65""",992.0,99.0,PLAISIO
"LG LED TV 75UN85006 75"" 4Κ Ultra HD",1899.0,1519.0,PLAISIO
"LG LED TV 75UM7050 75"" 4Κ Ultra HD",1329.0,1039.0,PLAISIO
"LG OLED TV OLED65GX6 65"" 4Κ Ultra HD",3749.0,2999.0,PLAISIO
"LG OLED TV OLED55GX6 55"" 4Κ Ultra HD",2819.0,2239.0,PLAISIO
"LG NanoCell TV 55NANO916 55"" 4Κ Ultra HD",1619.0,1279.0,PLAISIO
"LG OLED TV OLED 65B9S 65"" 4Κ Ultra HD",2599.0,1899.0,PLAISIO
"LG NanoCell TV 75NANO916 75"" 4Κ Ultra HD",2889.0,2299.0,PLAISIO
"LG NanoCell TV 65NANO866 65"" 4Κ Ultra HD",1799.0,1259.0,PLAISIO
"LG NanoCell TV 55NANO816 55"" 4Κ Ultra HD",115.0,919.0,PLAISIO
"Samsung QLED TV QE 75Q800T 75"" 8K Ultra HD",5999.0,4799.0,PLAISIO
"Samsung QLED TV QE 49Q80T 49"" 4Κ Ultra HD",1499.0,1199.0,PLAISIO
"Samsung QLED TV QE 75Q70T 75"" 4Κ Ultra HD",2499.0,1799.0,PLAISIO
"Samsung QLED TV QE 75Q950T 75"" 8K Ultra HD",8799.0,6999.0,PLAISIO
"Samsung QLED TV QE 75Q60T 75"" 4Κ Ultra HD",2399.0,1679.0,PLAISIO
"Samsung QLED TV QE 85Q60T 85"" 4Κ Ultra HD",3799.0,2999.0,PLAISIO
"Samsung QLED TV The Serif 49"" 4Κ Ultra HD",1399.0,1119.0,PLAISIO
"Samsung QLED TV The Serif 55"" 4Κ Ultra HD",1599.0,1279.0,PLAISIO
"Samsung QLED TV QE 75Q80T 75"" 4Κ Ultra HD",3799.0,3099.0,PLAISIO
"Samsung QLED TV QE 65Q950T 65"" 8K Ultra HD",6599.0,5279.0,PLAISIO
"Samsung QLED TV The Frame 65"" 4Κ Ultra HD",2399.0,1919.0,PLAISIO
"Sony LED TV KD43XH8096 43"" 4Κ Ultra HD",819.0,695.0,PLAISIO
"Samsung QLED TV QE 75Q90T 75"" 4Κ Ultra HD",4399.0,3499.0,PLAISIO
"Sony LED TV KD65XH8096 65"" 4Κ Ultra HD",1349.0,1349.0,PLAISIO
"Samsung QLED TV QE 75Q95T 75"" 4Κ Ultra HD",4899.0,3999.0,PLAISIO
"Sony Full Array TV KD49XH9505 49"" 4Κ Ultra HD",1449.0,1159.0,PLAISIO
"LG LED TV 75SM9900 75"" 8K Ultra HD",5499.0,3799.0,PLAISIO
"Sony LED TV KD65XG7096 65"" 4Κ Ultra HD",999.0,849.0,PLAISIO
"Samsung LED TV UE65TU8502 65"" 4Κ Ultra HD",134.0,949.0,PLAISIO
"Samsung QLED TV QE 65Q60T 65"" 4Κ Ultra HD",1599.0,1119.0,PLAISIO
"Sony Full Array TV 55XH9505 55"" 4Κ Ultra HD",1749.0,1399.0,PLAISIO
"Samsung LED TV UE82RU8002 82"" 4Κ Ultra HD",3699.0,2199.0,PLAISIO
"LG NanoCell TV 65NANO916 65"" 4Κ Ultra HD",2029.0,1599.0,PLAISIO
"LG LED TV 60UM7100 60"" 4Κ Ultra HD",999.0,629.0,PLAISIO
"LG LED TV 75UM7110 75"" 4Κ Ultra HD",199.0,899.0,PLAISIO
"LG LED TV 50UM7450 50"" 4Κ Ultra HD",549.0,399.0,PLAISIO
"LG OLED TV OLED55C9 55"" 4Κ Ultra HD",2799.0,1599.0,PLAISIO
"Samsung LED TV UE65RU7402 65"" 4Κ Ultra HD",159.0,799.0,PLAISIO
"LG NanoCell TV 55SM8200 55"" 4Κ Ultra HD",999.0,599.0,PLAISIO
"LG NanoCell TV 55SM8600 55"" 4Κ Ultra HD",164.0,749.0,PLAISIO
"Sony Full Array 55XG9505 55"" 4Κ Ultra HD",199.0,919.0,PLAISIO
